Price,AxisX,AxisY,IsValid
5.81,60.64544,59.45945,False,
5.88,69.20972,53.5294,False,
5.92,75.72279,46.58385,False,
5.98,86.8037,41.17648,False,
6.1,100,40.64517,False,
6.06,100,32.46754,False,
6.07,100,38.84893,False,
5.99,100,40.60151,False,
6.05,100,41.04479,False,
6.03,100,32.00001,False,
6.05,87.53136,19.81135,False,
5.95,55.73666,22.82612,False,
5.98,53.2428,25.2632,False,
5.98,50.85429,34.78264,False,
5.92,41.9389,36.9231,False,
6.02,52.34501,46.87501,False,
5.96,42.98615,42.85716,False,
5.98,46.10886,51.42857,False,
6.1,67.57548,59.99997,False,
6.09,66.74622,47.05883,False,
6.12,73.94935,48.52942,False,
6.34,93.55846,39.68253,False,
5.98,30.48459,31.64557,False,
5.88,0,52.2124,False,
5.74,0,57.0248,False,
5.77,0,58.4,False,
5.93,2.6764,58.4,False,
5.9,0.2301718,51.77306,False,
5.68,0,50.72464,False,
5.44,0,61.33334,False,
5.28,0,65.4762,True,
5.49,0,69.23077,False,
5.42,0,65.9686,False,
5.34,0,67.00508,True,
5.25,0,69.30693,True,
5.1,7.565488,78.83599,True,
5.35,32.84694,76.19049,False,
5.5,46.46502,64.48088,False,
5.43,42.8101,56.52173,False,
5.58,56.14463,59.04256,False,
5.58,58.67689,59.35829,False,
5.59,64.28794,58.69566,False,
5.47,57.06445,52.76073,False,
5.69,77.3215,49.00663,False,
5.67,78.17072,36.94268,False,
5.55,66.86104,43.47826,False,
5.75,100,45.45455,False,
5.64,91.00745,36.77421,False,
5.74,100,37.57963,False,
5.88,100,28.94739,False,
5.8,77.87985,31.20569,False,
5.63,50.44958,38.80597,False,
5.69,57.78979,43.05555,False,
5.4,14.29923,45.92592,False,
5.55,39.00677,55.4878,False,
5.49,26.61456,51.12359,False,
5.51,25.23384,49.4186,False,
5.51,23.24724,55.92104,False,
5.5,16.77832,55.33332,False,
5.62,51.00301,51.79856,False,
5.69,88.44517,54.96183,False,
5.59,37.08447,48.03149,False,
5.41,0,55.90549,False,
5.62,75.58249,67.93892,False,
5.49,26.62806,56.25001,False,
5.55,50.52491,55.00001,False,
5.53,43.91455,54.99999,False,
5.6,72.33972,44.2478,False,
5.47,15.71288,47.61907,False,
5.58,65.9202,50.89286,False,
5.54,44.83416,47.10745,False,
5.54,42.3543,48.80001,False,
5.45,0,48.3871,False,
5.42,0,57.02479,False,
5.4,0,61.53845,False,
5.3,0,58.7156,False,
5.32,0,55.44552,False,
5.24,0,68.29266,False,
5.22,0,66.23376,False,
5.18,0,72.60277,True,
5.2,0.8665338,73.33336,False,
4.98,0,78.57143,True,
4.93,0,81.01265,True,
4.95,17.4292,94.52055,True,
5.14,42.52932,91.5493,True,
5.23,53.67751,72.22223,True,
5.52,86.24839,62.22221,False,
5.56,97.45339,45.68966,False,
5.48,84.26449,43.22035,False,
5.48,86.99432,42.24139,False,
5.4,67.82642,42.98246,False,
5.3,36.46668,42.98244,True,
5.28,27.73625,46.72129,True,
5.36,51.87791,45.83332,True,
5.2,0,43.65078,True,
5.1,0,40.83335,True,
5.27,20.23223,43.2,True,
5.43,56.36873,38.57142,True,
5.35,33.99775,39.41606,True,
5.45,58.90268,45.58824,True,
5.51,95.14684,52.99146,True,
5.5,100,52.10083,True,
5.55,100,49.10714,True,
5.58,100,47.00854,True,
5.66,100,41.9643,True,
5.72,100,33.63638,True,
5.69,100,30.70177,True,
5.64,100,34.86239,True,
5.75,100,27.55102,True,
5.81,79.96096,17.17172,True,
5.83,78.74715,19.31819,True,
5.74,64.86774,22.97298,True,
5.8,68.2647,24.00003,True,
5.88,75.33413,25.35212,True,
5.87,72.36626,24.65755,True,
6.07,77.57542,24.65755,True,
6.07,68.42588,20.45457,True,
6.1,68.783,21.17648,False,
6.08,63.8157,22.50002,True,
6.02,57.53228,26.3158,True,
6.06,60.37514,29.11395,True,
6.07,59.35464,23.07694,True,
6.2,67.57833,26.4706,False,
6.12,58.4893,24.00003,False,
6.08,53.90766,32.09878,True,
5.98,42.3173,27.63157,True,
5.91,31.5042,38.75001,True,
6.1,55.25899,48.10128,False,
6.17,67.00124,38.14433,False,
