Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
26.5,69.38776,21.91149,False,4,
26.5,75.55556,28.68958,False,3,
26.5,75,30.00848,False,2,
26.25,75,30.90285,False,1,
25.875,77.77778,27.66765,False,2,
25.625,84.44444,31.27799,False,5,
25.5,81.08109,35.80166,True,1,
25.875,78.125,42.65692,False,2,
25.875,66.66667,42.52787,False,1,
25.375,62.96296,34.40213,True,4,
25.25,72.4138,35.01604,True,2,
25.25,71.42857,41.48911,True,1,
25.625,61.90476,49.54016,False,5,
25.75,61.90476,52.31486,False,4,
25.875,65,55.70027,False,3,
25.875,61.90476,56.85541,False,2,
25.625,61.90476,49.80587,False,1,
25,61.90476,27.09171,False,1,
24.625,65.21739,9.14292,False,3,
24.5,66.66667,0,False,2,
24.5,66.66667,0,False,1,
24,76.19048,0,False,1,
23.5,80,0,False,1,
22.875,80,0,False,5,
23,82.75862,0,False,1,
22.75,80,0,True,2,
22.75,89.65517,3.638392,True,1,
23,92.85714,30.04262,False,1,
21.875,89.65517,25.68665,False,1,
21.375,92.10526,22.03634,True,2,
21.5,92.5,29.36111,False,2,
21.625,88.88889,35.88573,False,1,
21.25,85.29411,35.90052,False,1,
20.75,86.11111,32.82643,False,1,
20.5,87.5,31.32913,False,3,
20.625,86.8421,33.35061,False,2,
20.5,82.85714,34.89342,False,1,
19.875,80.64516,28.21694,False,1,
19.125,85.71429,22.64161,False,2,
19.125,87.17949,18.85064,False,1,
18.75,87.17949,10.71064,True,1,
19.125,92.5,33.18719,True,1,
19.75,82.35294,43.67459,True,2,
19.625,68.57143,43.38744,True,1,
20.125,71.42857,51.46861,False,2,
20,65.78947,51.97134,False,1,
19.75,63.88889,49.83875,False,1,
19.25,61.76471,42.50944,True,2,
19.125,63.88889,41.15181,True,1,
19.75,66.66667,54.28501,True,1,
20,57.5,62.19571,False,1,
19.75,48.64865,57.60419,False,1,
19.375,42.42424,45.75142,False,1,
18.375,47.22223,6.739152,False,2,
18.5,53.65854,3.028533,False,1,
18.125,56.41025,0,False,1,
17.625,67.56757,0,True,1,
18.25,70,0,False,2,
18.25,68.29269,6.93582,False,1,
17.5,67.5,0,False,1,
16.5,70.45454,0,False,1,
15.75,72.91666,0,False,1,
14.125,75.4717,0,True,1,
14.75,86.88525,22.88588,False,1,
14.375,82.8125,28.00473,True,1,
15.375,83.07692,41.55223,True,2,
15.375,72.85715,44.01543,True,1,
15.625,69.35484,47.97992,False,2,
15.625,68.25397,49.91334,False,1,
15.375,66.66667,48.38023,False,1,
14.5,65.51724,40.5572,True,3,
14.625,75,43.64585,True,2,
14.625,73.77049,44.60744,True,1,
15,70.90909,49.63904,True,1,
15.375,62,56.26844,False,3,
15.5,53.19149,60.77239,False,2,
15.375,34.28571,58.80312,False,1,
15.125,41.93548,49.63316,True,1,
15.375,40,59.81076,False,1,
15,50,36.21625,False,1,
14.125,55.55556,0,False,1,
13.5,68.75,0,True,1,
14.625,72.97298,41.6583,True,1,
15.375,56.81818,95.70409,False,2,
15.25,41.86047,92.97847,False,1,
14.875,44.18605,57.84138,True,1,
15.25,47.82608,100,False,1,
14.625,47.82608,30.63586,False,1,
14.25,56.25,4.810298,True,1,
14.625,60,45.65991,False,2,
14.625,55.76923,51.2279,False,1,
14.125,54,17.78644,True,5,
14.25,59.61539,31.58575,False,1,
14,56,16.49541,True,1,
14.25,51.11111,28.57034,True,2,
14.25,42.85714,0,True,1,
14.5,54.54546,20.21853,True,1,
14.75,62.06896,81.35133,False,1,
14.375,56.66667,39.01232,False,1,
14.125,56.66667,16.88983,False,1,
13.875,65.51724,10.07199,False,2,
13.75,61.53846,6.750771,False,1,
13.125,58.33334,0,False,1,
12.625,73.07692,0,False,2,
12.5,76.66666,0,False,1,
12,74.07407,4.895559,False,1,
11.275,80,8.305531,True,1,
11.925,82.24852,28.05241,True,1,
12.15,75.13513,37.94548,False,2,
12.175,71.64949,40.16458,False,1,
11.325,75.13513,27.63433,True,1,
11.625,82.77512,37.1772,True,1,
11.875,76.69902,44.18327,False,1,
11.675,71.84465,42.53453,False,1,
11.35,71.56862,37.54938,False,1,
10.875,72.6415,30.15595,False,1,
10.625,71.84465,28.17735,False,1,
10.375,70.40816,24.40714,True,1,
10.5,71.14427,28.87695,True,1,
11.725,66.12903,57.60639,True,1,
12.425,45.63107,79.57015,True,1,
12.875,45.19231,100,True,2,
12.75,43.31797,100,True,1,
13.125,44.79638,100,True,2,
13.25,32.17822,100,False,2,
13.375,33.33334,100,False,1,
12.75,34.21053,94.30464,False,1,
12.3,39.61353,61.2675,True,1,
12.625,41.03774,75.64442,True,2,
12.625,33.0097,69.62911,True,1,
12.875,29.59184,71.14623,False,1,
12.35,24.48979,45.2057,True,1,
12.75,32.54716,55.17844,True,1,
13.25,38.54749,65.66209,False,1,
12.625,40.35088,42.03535,True,1,
13.5,52.80899,73.76987,False,1,
13.25,42.78846,61.72764,False,2,
13.25,48.76847,62.34312,False,1,
13,50,53.35457,True,3,
13.125,53.69458,61.25911,True,2,
13.125,45.90164,60.11549,True,1,
13.5,40,76.72654,True,1,
13.875,39.52095,88.64732,True,1,
14.375,36.26373,95.59141,True,2,
14.25,34.37499,83.56108,True,1,
14.625,28.4091,95.70948,True,3,
14.5,28.57143,88.18961,True,1,
14.75,34.37499,93.36422,True,1,
15.375,20.68965,100,False,2,
15.25,22.22222,91.17635,False,2,
15.125,19.23077,79.84158,True,2,
15,22.22222,72.45544,True,1,
15.75,19.23077,85.74207,False,2,
15.75,16.12904,75.37614,False,1,
15.375,16.12904,62.85877,True,1,
15.625,25.80645,65.99734,False,2,
15.5,26.66666,60.15518,False,1,
15,33.33334,46.67101,False,2,
14.875,40,42.03947,False,1,
14.625,46.42857,34.17225,False,2,
14.5,48.27586,28.1106,False,1,
14.25,53.57143,15.12564,True,1,
14.5,68,20.83967,False,1,
14.125,61.53846,0,True,1,
14.375,64.28571,0,False,2,
14.25,58.62069,0,False,1,
13.375,75,0,False,2,
13.375,80.64516,0,False,1,
12.875,78.57143,0,True,1,
13.5,86.66666,29.13897,False,5,
13.5,73.52941,33.76888,False,4,
13.5,70,39.03561,False,3,
13.5,68.96552,43.36163,False,2,
13.5,66.66667,44.80779,False,1,
13.125,65.38461,37.80362,True,4,
13,66.66667,36.23087,True,3,
13,73.07692,38.08552,True,2,
13,69.56522,38.83852,True,1,
13.375,76.19048,51.56308,True,1,
14,65.21739,73.87428,False,3,
14,38.09524,78.96962,False,2,
13.875,38.09524,77.74753,False,1,
13.375,27.77778,33.9953,True,1,
13.625,52.94118,56.05633,True,2,
13.75,47.36842,72.12968,True,2,
13.875,45,84.46266,True,1,
14.125,42.85714,100,False,1,
13.625,39.13043,42.68117,True,1,
13.875,41.66667,66.74606,False,2,
13.75,36,51.06373,False,3,
13.625,38.46154,38.73798,False,2,
13.75,40.74074,52.31776,False,1,
13.375,44,1.624046,False,1,
13,60.86956,0,False,1,
